Name: Yio Chu Kang Road, Instruction: Head south on Yio Chu Kang Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: Buangkok Park Connector, Instruction: Turn left onto Buangkok Park Connector, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 397.6 meters, Time: 286.3 seconds
Name: -, Instruction: Turn slight left, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Continue straight, Distance: 122.6 meters, Time: 88.3 seconds
Name: -, Instruction: Keep right, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Turn right, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
