Name: Balam Road, Instruction: Head southwest on Balam Road, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn right, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 72.9 meters, Time: 52.5 seconds
Name: Circuit Road, Instruction: Turn right onto Circuit Road, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: Pelton Canal Park Connector, Instruction: Turn slight right onto Pelton Canal Park Connector, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 641.2 meters, Time: 461.7 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
