Name: Rosedale Heights Drive, Instruction: Head east on Rosedale Heights Drive, Distance: 110.4 meters, Time: 79.5 seconds
Name: Sighthill Avenue, Instruction: Turn right onto Sighthill Avenue, Distance: 73.7 meters, Time: 53.1 seconds
Name: Ridge Drive, Instruction: Turn right onto Ridge Drive, Distance: 236.7 meters, Time: 170.4 seconds
Name: -, Instruction: Turn left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 156.7 meters, Time: 112.8 seconds
Name: -, Instruction: Keep right, Distance: 380.8 meters, Time: 274.2 seconds
Name: -, Instruction: Keep right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 162.5 meters, Time: 117.0 seconds
Name: -, Instruction: Keep left, Distance: 142.1 meters, Time: 102.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Keep left, Distance: 488.0 meters, Time: 351.4 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 281.8 meters, Time: 202.9 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 233.4 meters, Time: 168.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
