Name: Kenneth Lane, Instruction: Head east on Kenneth Lane, Distance: 136.6 meters, Time: 98.4 seconds
Name: Botany Lane, Instruction: Turn left onto Botany Lane, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn right, Distance: 59.0 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 278.2 meters, Time: 200.3 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 179.5 meters, Time: 129.3 seconds
Name: -, Instruction: Turn slight right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 137.8 meters, Time: 99.2 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
