Name: Maiglöckchenweg, Instruction: Head northwest on Maiglöckchenweg, Distance: 225.5 meters, Time: 162.4 seconds
Name: Ottostraße, Instruction: Turn sharp right onto Ottostraße, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: Gottfried-Keller-Straße, Instruction: Turn left onto Gottfried-Keller-Straße, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 101.6 meters, Time: 73.2 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Kleiststraße, Instruction: Turn left onto Kleiststraße, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn right, Distance: 50.4 meters, Time: 36.3 seconds
Name: Gabriele-Münter-Weg, Instruction: Turn left onto Gabriele-Münter-Weg, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn left, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
