Name: Harrier Avenue, Instruction: Head north on Harrier Avenue, Distance: 230.0 meters, Time: 165.6 seconds
Name: Falcon Circuit, Instruction: Turn right onto Falcon Circuit, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Turn left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 352.8 meters, Time: 254.0 seconds
Name: Eshelby Street, Instruction: Turn left onto Eshelby Street, Distance: 271.1 meters, Time: 195.2 seconds
Name: Cordelia Crescent, Instruction: Turn left onto Cordelia Crescent, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 264.1 meters, Time: 190.1 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: Coquet Way, Instruction: Turn right onto Coquet Way, Distance: 10.6 meters, Time: 7.6 seconds
Name: Lord Howe Drive, Instruction: Turn left onto Lord Howe Drive, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Arrive at Lord Howe Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
