Name: شارع بيومى حجازى, Instruction: Head west on شارع بيومى حجازى, Distance: 52.2 meters, Time: 37.6 seconds
Name: شارع ترعه الجلاد, Instruction: Turn left onto شارع ترعه الجلاد, Distance: 52.1 meters, Time: 37.5 seconds
Name: شارع احمد فاروق, Instruction: Turn right onto شارع احمد فاروق, Distance: 685.5 meters, Time: 493.5 seconds
Name: شارع معمل الالبان, Instruction: Turn left onto شارع معمل الالبان, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn left, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn right, Distance: 58.1 meters, Time: 41.8 seconds
Name: شارع العاشر من رمضان, Instruction: Turn left onto شارع العاشر من رمضان, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: شارع العاشر من رمضان, Instruction: Turn left onto شارع العاشر من رمضان, Distance: 116.2 meters, Time: 83.7 seconds
Name: -, Instruction: Turn right, Distance: 61.9 meters, Time: 44.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
