Name: Dufferin Grove Park Trail, Instruction: Head south on Dufferin Grove Park Trail, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Keep right, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Keep left, Distance: 79.0 meters, Time: 56.9 seconds
Name: Bill Cameron Lane, Instruction: Turn left onto Bill Cameron Lane, Distance: 4.2 meters, Time: 3.0 seconds
Name: Dewson Street, Instruction: Turn right onto Dewson Street, Distance: 280.2 meters, Time: 201.7 seconds
Name: Concord Avenue, Instruction: Turn left onto Concord Avenue, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Dewson Street, Instruction: Turn right onto Dewson Street, Distance: 48.8 meters, Time: 35.2 seconds
Name: Roxton Road, Instruction: Turn left onto Roxton Road, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 90.8 meters, Time: 65.4 seconds
Name: -, Instruction: Turn left, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 194.0 meters, Time: 139.7 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Keep right, Distance: 314.0 meters, Time: 226.1 seconds
Name: -, Instruction: Turn slight right, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 307.1 meters, Time: 221.1 seconds
Name: -, Instruction: Turn slight right, Distance: 202.6 meters, Time: 145.8 seconds
Name: -, Instruction: Turn left, Distance: 196.5 meters, Time: 141.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
