Name: Corringham Road, Instruction: Head north on Corringham Road, Distance: 334.3 meters, Time: 240.7 seconds
Name: Barn Way, Instruction: Turn left onto Barn Way, Distance: 171.5 meters, Time: 123.5 seconds
Name: Basing Hill, Instruction: Turn right onto Basing Hill, Distance: 92.1 meters, Time: 66.3 seconds
Name: Barn Rise, Instruction: Turn left onto Barn Rise, Distance: 77.5 meters, Time: 55.8 seconds
Name: Barn Hill, Instruction: Turn left onto Barn Hill, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 130.2 meters, Time: 93.7 seconds
Name: -, Instruction: Turn right, Distance: 66.2 meters, Time: 47.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 429.2 meters, Time: 309.0 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 145.1 meters, Time: 104.4 seconds
Name: -, Instruction: Turn left, Distance: 464.4 meters, Time: 334.4 seconds
Name: -, Instruction: Turn right, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn slight left, Distance: 168.4 meters, Time: 121.3 seconds
Name: -, Instruction: Keep right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
