Name: Roseman Avenue, Instruction: Head north on Roseman Avenue, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 219.7 meters, Time: 158.2 seconds
Name: Southwestern Path, Instruction: Turn right onto Southwestern Path, Distance: 350.0 meters, Time: 252.0 seconds
Name: Southwestern Path, Instruction: Turn slight left onto Southwestern Path, Distance: 11.4 meters, Time: 8.2 seconds
Name: Southwestern Path, Instruction: Turn right onto Southwestern Path, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 447.2 meters, Time: 322.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Keep left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 95.0 meters, Time: 68.4 seconds
Name: -, Instruction: Turn right, Distance: 112.7 meters, Time: 81.1 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 187.5 meters, Time: 135.0 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 131.3 meters, Time: 94.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
