Name: Rue de Cambrai, Instruction: Head northeast on Rue de Cambrai, Distance: 11.5 meters, Time: 8.3 seconds
Name: Rue Curial, Instruction: Enter the roundabout and take the 1st exit onto Rue Curial, Distance: 221.3 meters, Time: 159.4 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 348.3 meters, Time: 250.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 405.9 meters, Time: 292.3 seconds
Name: -, Instruction: Turn right, Distance: 200.1 meters, Time: 144.1 seconds
Name: -, Instruction: Turn slight right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: Rue Tristan Tzara, Instruction: Turn right onto Rue Tristan Tzara, Distance: 117.5 meters, Time: 84.6 seconds
Name: Rue Raymond Queneau, Instruction: Turn right onto Rue Raymond Queneau, Distance: 270.1 meters, Time: 194.5 seconds
Name: Place du Professeur Muhammad Yunus, Instruction: Turn right onto Place du Professeur Muhammad Yunus, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 31.3 meters, Time: 22.5 seconds
Name: Rue Pierre Mauroy, Instruction: Turn right onto Rue Pierre Mauroy, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Arrive at Rue Pierre Mauroy, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
