Name: Pengarth Court, Instruction: Head northwest on Pengarth Court, Distance: 43.1 meters, Time: 31.1 seconds
Name: Flemington Road, Instruction: Turn right onto Flemington Road, Distance: 156.7 meters, Time: 112.8 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 240.7 meters, Time: 173.3 seconds
Name: -, Instruction: Keep right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn right, Distance: 562.4 meters, Time: 405.0 seconds
Name: -, Instruction: Turn right, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Keep right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 108.1 meters, Time: 77.9 seconds
Name: -, Instruction: Turn slight left, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Keep right, Distance: 508.4 meters, Time: 366.0 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
