Name: Max-Bruch-Straße, Instruction: Head east on Max-Bruch-Straße, Distance: 79.7 meters, Time: 57.3 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 185.3 meters, Time: 133.4 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Keep left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Continue straight, Distance: 204.0 meters, Time: 146.9 seconds
Name: -, Instruction: Continue straight, Distance: 182.3 meters, Time: 131.3 seconds
Name: Carl-Orff-Bogen, Instruction: Turn left onto Carl-Orff-Bogen, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: Karl-Köglsperger-Straße, Instruction: Turn right onto Karl-Köglsperger-Straße, Distance: 135.8 meters, Time: 97.8 seconds
Name: Schlößlanger, Instruction: Turn left onto Schlößlanger, Distance: 3.7 meters, Time: 2.6 seconds
Name: Fichtenweg, Instruction: Turn right onto Fichtenweg, Distance: 214.7 meters, Time: 154.6 seconds
Name: Sanddornstraße, Instruction: Turn left onto Sanddornstraße, Distance: 5.6 meters, Time: 4.0 seconds
Name: Burmesterstraße, Instruction: Turn right onto Burmesterstraße, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
