Name: Texel Street, Instruction: Head north on Texel Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Keep left, Distance: 74.0 meters, Time: 53.3 seconds
Name: Colesburg Street, Instruction: Turn left onto Colesburg Street, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 73.0 meters, Time: 52.5 seconds
Name: Princess Margaret Street, Instruction: Turn right onto Princess Margaret Street, Distance: 58.1 meters, Time: 41.8 seconds
Name: Biggar Street, Instruction: Turn left onto Biggar Street, Distance: 71.9 meters, Time: 51.8 seconds
Name: Grens Street, Instruction: Turn left onto Grens Street, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Keep right, Distance: 46.5 meters, Time: 33.4 seconds
Name: Showground Avenue, Instruction: Turn sharp right onto Showground Avenue, Distance: 873.4 meters, Time: 628.8 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: Showground Avenue, Instruction: Turn right onto Showground Avenue, Distance: 157.9 meters, Time: 113.7 seconds
Name: -, Instruction: Turn right, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn slight left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Keep right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn left, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 57.0 meters, Time: 41.0 seconds
Name: Station Road, Instruction: Turn left onto Station Road, Distance: 152.9 meters, Time: 110.1 seconds
Name: Beaufort Street, Instruction: Turn right onto Beaufort Street, Distance: 17.4 meters, Time: 12.6 seconds
Name: Bowden Road, Instruction: Turn left onto Bowden Road, Distance: 150.8 meters, Time: 108.6 seconds
Name: Caledon Street, Instruction: Turn right onto Caledon Street, Distance: 123.3 meters, Time: 88.8 seconds
Name: -, Instruction: Turn left, Distance: 78.6 meters, Time: 56.6 seconds
Name: Townsend Street, Instruction: Turn right onto Townsend Street, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
