Name: Hemlock Street, Instruction: Head north on Hemlock Street, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Turn right, Distance: 50.2 meters, Time: 36.2 seconds
Name: Claremont Boulevard, Instruction: Turn slight right onto Claremont Boulevard, Distance: 107.4 meters, Time: 77.3 seconds
Name: Claremont Boulevard, Instruction: Keep right onto Claremont Boulevard, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: Claremont Boulevard, Instruction: Turn right onto Claremont Boulevard, Distance: 109.1 meters, Time: 78.6 seconds
Name: Draper Street, Instruction: Turn right onto Draper Street, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.9 seconds
Name: Stegmann Road, Instruction: Turn right onto Stegmann Road, Distance: 55.2 meters, Time: 39.7 seconds
Name: Central Street, Instruction: Turn left onto Central Street, Distance: 97.3 meters, Time: 70.0 seconds
Name: -, Instruction: Continue straight, Distance: 127.6 meters, Time: 91.9 seconds
Name: Newry Street, Instruction: Turn sharp right onto Newry Street, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 23.7 meters, Time: 17.1 seconds
Name: Claremont Boulevard, Instruction: Turn slight right onto Claremont Boulevard, Distance: 191.8 meters, Time: 138.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 191.3 meters, Time: 137.7 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 109.8 meters, Time: 79.1 seconds
Name: Bath Road, Instruction: Turn left onto Bath Road, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 174.1 meters, Time: 125.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
