Name: Oakwood Avenue, Instruction: Head north on Oakwood Avenue, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 123.9 meters, Time: 89.2 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Keep left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Keep left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn slight right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Keep left, Distance: 748.6 meters, Time: 539.0 seconds
Name: -, Instruction: Turn left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 142.3 meters, Time: 102.4 seconds
Name: -, Instruction: Turn slight left, Distance: 150.2 meters, Time: 108.2 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn slight right, Distance: 9.5 meters, Time: 6.8 seconds
Name: Bowie Avenue, Instruction: Turn left onto Bowie Avenue, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 92.3 meters, Time: 66.5 seconds
Name: Schell Avenue, Instruction: Turn left onto Schell Avenue, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
