Name: Axe de la Défense, Instruction: Head northwest on Axe de la Défense, Distance: 406.2 meters, Time: 292.4 seconds
Name: -, Instruction: Turn slight left, Distance: 263.0 meters, Time: 189.4 seconds
Name: -, Instruction: Turn right, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Keep right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn slight left, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 88.7 meters, Time: 63.8 seconds
Name: Parvis de l'Arena, Instruction: Turn right onto Parvis de l'Arena, Distance: 8.5 meters, Time: 6.1 seconds
Name: Parvis de l'Arena, Instruction: Continue straight onto Parvis de l'Arena, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Continue straight, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Turn right, Distance: 188.5 meters, Time: 135.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
