Name: Kawa Drive, Instruction: Head east on Kawa Drive, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 203.0 meters, Time: 146.2 seconds
Name: -, Instruction: Turn slight right, Distance: 144.1 meters, Time: 103.7 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Keep right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight right, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: John Broad Place, Instruction: Turn left onto John Broad Place, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Arrive at John Broad Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
