Name: Allacher Straße, Instruction: Head east on Allacher Straße, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 103.2 meters, Time: 74.3 seconds
Name: Gottfried-Keller-Weg, Instruction: Turn right onto Gottfried-Keller-Weg, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 102.7 meters, Time: 73.9 seconds
Name: -, Instruction: Continue straight, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Continue straight, Distance: 62.6 meters, Time: 45.1 seconds
Name: Münchner Straße, Instruction: Turn right onto Münchner Straße, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.2 seconds
Name: Münchner Straße, Instruction: Turn right onto Münchner Straße, Distance: 131.5 meters, Time: 94.7 seconds
Name: Bajuwarenstraße, Instruction: Turn slight left onto Bajuwarenstraße, Distance: 169.3 meters, Time: 121.9 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: Bajuwarenstraße, Instruction: Turn left onto Bajuwarenstraße, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Continue straight, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn slight left, Distance: 13.1 meters, Time: 9.5 seconds
Name: Berberitzenweg, Instruction: Turn left onto Berberitzenweg, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at Berberitzenweg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
