Name: 11th Avenue, Instruction: Head northeast on 11th Avenue, Distance: 114.5 meters, Time: 82.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 88.5 meters, Time: 63.7 seconds
Name: 26th Street, Instruction: Turn left onto 26th Street, Distance: 63.1 meters, Time: 45.5 seconds
Name: -, Instruction: Keep left, Distance: 91.7 meters, Time: 66.0 seconds
Name: 26th Street, Instruction: Turn slight left onto 26th Street, Distance: 342.7 meters, Time: 246.7 seconds
Name: -, Instruction: Continue straight, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 172.8 meters, Time: 124.4 seconds
Name: May Street, Instruction: Turn right onto May Street, Distance: 22.6 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Turn right, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn slight right, Distance: 89.1 meters, Time: 64.2 seconds
Name: Betty Street, Instruction: Turn right onto Betty Street, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Keep left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.6 seconds
Name: C.L. Adams Avenue, Instruction: Turn right onto C.L. Adams Avenue, Distance: 52.5 meters, Time: 37.8 seconds
Name: Norwood Road, Instruction: Turn left onto Norwood Road, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: 30th Street, Instruction: Turn sharp right onto 30th Street, Distance: 82.5 meters, Time: 59.4 seconds
Name: 29th Avenue, Instruction: Turn right onto 29th Avenue, Distance: 258.7 meters, Time: 186.3 seconds
Name: Halt Road, M76, Instruction: Turn right onto Halt Road, M76, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 5.9 seconds
Name: Halt Road, M76, Instruction: Turn left onto Halt Road, M76, Distance: 14.3 meters, Time: 10.3 seconds
Name: 29th Avenue, Instruction: Turn right onto 29th Avenue, Distance: 234.1 meters, Time: 168.6 seconds
Name: 8th Street, Instruction: Turn left onto 8th Street, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Keep left, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
