Name: Teck Lim Road, Instruction: Head southeast on Teck Lim Road, Distance: 58.7 meters, Time: 42.3 seconds
Name: Neil Road, Instruction: Turn left onto Neil Road, Distance: 65.4 meters, Time: 47.1 seconds
Name: Kreta Ayer Road, Instruction: Turn sharp left onto Kreta Ayer Road, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 303.6 meters, Time: 218.6 seconds
Name: Sago Street, Instruction: Turn right onto Sago Street, Distance: 15.2 meters, Time: 10.9 seconds
Name: South Bridge Road, Instruction: Turn left onto South Bridge Road, Distance: 40.5 meters, Time: 29.2 seconds
Name: Ann Siang Hill, Instruction: Turn right onto Ann Siang Hill, Distance: 59.3 meters, Time: 42.7 seconds
Name: Club Street, Instruction: Turn left onto Club Street, Distance: 250.6 meters, Time: 180.4 seconds
Name: -, Instruction: Turn right, Distance: 395.3 meters, Time: 284.6 seconds
Name: -, Instruction: Continue straight, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 183.1 meters, Time: 131.8 seconds
Name: -, Instruction: Turn left, Distance: 188.5 meters, Time: 135.7 seconds
Name: -, Instruction: Turn right, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
