Name: Großhaderner Straße, Instruction: Head northeast on Großhaderner Straße, Distance: 35.2 meters, Time: 25.3 seconds
Name: Helmstädtstraße, Instruction: Turn right onto Helmstädtstraße, Distance: 175.9 meters, Time: 126.7 seconds
Name: -, Instruction: Turn slight right, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn slight right, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 435.1 meters, Time: 313.3 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 110.8 meters, Time: 79.8 seconds
Name: -, Instruction: Keep left, Distance: 203.5 meters, Time: 146.5 seconds
Name: -, Instruction: Keep left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 229.0 meters, Time: 164.9 seconds
Name: -, Instruction: Turn right, Distance: 134.7 meters, Time: 96.9 seconds
Name: Kurparkstraße, Instruction: Turn left onto Kurparkstraße, Distance: 302.4 meters, Time: 217.7 seconds
Name: Kurparkstraße, Instruction: Turn right onto Kurparkstraße, Distance: 42.1 meters, Time: 30.3 seconds
Name: Fürstenrieder Straße, Instruction: Turn left onto Fürstenrieder Straße, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 50.1 meters, Time: 36.0 seconds
Name: Stegener Weg, Instruction: Continue straight onto Stegener Weg, Distance: 79.0 meters, Time: 56.9 seconds
Name: Stegener Weg, Instruction: Turn left onto Stegener Weg, Distance: 18.4 meters, Time: 13.2 seconds
Name: Kärntner Platz, Instruction: Turn slight right onto Kärntner Platz, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
