Name: Glenelg Place, Instruction: Head southeast on Glenelg Place, Distance: 94.0 meters, Time: 67.7 seconds
Name: Sutherland Road, Instruction: Turn left onto Sutherland Road, Distance: 724.9 meters, Time: 521.9 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: The Crescent, Instruction: Turn left onto The Crescent, Distance: 319.3 meters, Time: 229.9 seconds
Name: Lyne Road, Instruction: Turn right onto Lyne Road, Distance: 227.6 meters, Time: 163.8 seconds
Name: -, Instruction: Turn left, Distance: 725.3 meters, Time: 522.2 seconds
Name: -, Instruction: Continue straight, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Keep left, Distance: 20.1 meters, Time: 14.5 seconds
Name: Kandy Avenue, Instruction: Turn slight right onto Kandy Avenue, Distance: 130.6 meters, Time: 94.0 seconds
Name: -, Instruction: Turn left, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
