Name: شارع هدى سلطان, Instruction: Head southwest on شارع هدى سلطان, Distance: 42.1 meters, Time: 30.3 seconds
Name: شارع عمر خورشيد, Instruction: Turn left onto شارع عمر خورشيد, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn slight left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 42.8 meters, Time: 30.8 seconds
Name: شارع رمسيس الثاني, Instruction: Keep left onto شارع رمسيس الثاني, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.4 meters, Time: 9.7 seconds
Name: شارع رمسيس الثاني, Instruction: Turn left onto شارع رمسيس الثاني, Distance: 10.6 meters, Time: 7.7 seconds
Name: شارع رمسيس الثاني, Instruction: Continue straight onto شارع رمسيس الثاني, Distance: 85.0 meters, Time: 61.2 seconds
Name: شارع خوفو, Instruction: Keep right onto شارع خوفو, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.1 meters, Time: 8.7 seconds
Name: شارع خوفو, Instruction: Turn right onto شارع خوفو, Distance: 117.6 meters, Time: 84.6 seconds
Name: شارع تحتمس الثالث, Instruction: Keep left onto شارع تحتمس الثالث, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.5 seconds
Name: شارع ابو سمبل, Instruction: Turn left onto شارع ابو سمبل, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.4 seconds
Name: شارع ابو سمبل, Instruction: Turn right onto شارع ابو سمبل, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 92.1 meters, Time: 66.3 seconds
Name: شارع امنمحات, Instruction: Turn right onto شارع امنمحات, Distance: 54.2 meters, Time: 39.0 seconds
Name: شارع امنمحات, Instruction: Keep left onto شارع امنمحات, Distance: 41.0 meters, Time: 29.5 seconds
Name: شارع الملك مينا, Instruction: Turn slight left onto شارع الملك مينا, Distance: 204.6 meters, Time: 147.3 seconds
Name: -, Instruction: Keep left, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
