Name: Passage Josseaume, Instruction: Head southeast on Passage Josseaume, Distance: 46.8 meters, Time: 33.7 seconds
Name: Passage de la Providence, Instruction: Keep right onto Passage de la Providence, Distance: 161.7 meters, Time: 116.4 seconds
Name: -, Instruction: Turn left, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Keep right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 116.0 meters, Time: 83.5 seconds
Name: -, Instruction: Turn left, Distance: 304.7 meters, Time: 219.4 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: Rue des Maraîchers, Instruction: Turn right onto Rue des Maraîchers, Distance: 149.1 meters, Time: 107.3 seconds
Name: -, Instruction: Turn left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn slight right, Distance: 56.9 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Cours de Vincennes, Instruction: Turn left onto Cours de Vincennes, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 220.0 meters, Time: 158.4 seconds
Name: -, Instruction: Turn slight left, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 49.1 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 340.0 meters, Time: 244.8 seconds
Name: -, Instruction: Turn left, Distance: 38.8 meters, Time: 27.9 seconds
Name: Rue de Montempoivre, Instruction: Turn left onto Rue de Montempoivre, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at Rue de Montempoivre, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
