Name: Hellensteinstraße, Instruction: Head south on Hellensteinstraße, Distance: 268.7 meters, Time: 193.5 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.6 seconds
Name: Aubinger Straße, Instruction: Turn left onto Aubinger Straße, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: Aubinger Straße, Instruction: Turn left onto Aubinger Straße, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Keep right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.2 seconds
Name: Radolfzeller Straße, Instruction: Turn right onto Radolfzeller Straße, Distance: 56.8 meters, Time: 40.9 seconds
Name: Mainaustraße, Instruction: Keep left onto Mainaustraße, Distance: 259.7 meters, Time: 187.0 seconds
Name: -, Instruction: Turn right, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Keep left, Distance: 211.5 meters, Time: 152.3 seconds
Name: Überlinger Weg, Instruction: Turn left onto Überlinger Weg, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 97.3 meters, Time: 70.1 seconds
Name: -, Instruction: Turn right, Distance: 137.5 meters, Time: 99.0 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 321.1 meters, Time: 231.2 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 51.2 meters, Time: 36.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
