Name: Calle Azafrán, Instruction: Head west on Calle Azafrán, Distance: 68.2 meters, Time: 49.1 seconds
Name: Avenida Río Churubusco, Instruction: Turn right onto Avenida Río Churubusco, Distance: 899.9 meters, Time: 647.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 95.5 meters, Time: 68.7 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 55.3 meters, Time: 39.8 seconds
Name: Jesús Galindo y Villa, Instruction: Turn right onto Jesús Galindo y Villa, Distance: 859.4 meters, Time: 618.7 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 240.5 meters, Time: 173.2 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
