Name: Keith Road, Instruction: Head north on Keith Road, Distance: 63.0 meters, Time: 45.4 seconds
Name: Jarvis Way, Instruction: Turn left onto Jarvis Way, Distance: 149.0 meters, Time: 107.3 seconds
Name: Ivan Road, Instruction: Turn right onto Ivan Road, Distance: 80.5 meters, Time: 58.0 seconds
Name: -, Instruction: Turn left, Distance: 43.3 meters, Time: 31.1 seconds
Name: -, Instruction: Continue straight, Distance: 47.3 meters, Time: 34.1 seconds
Name: George Road, Instruction: Turn left onto George Road, Distance: 37.4 meters, Time: 27.0 seconds
Name: Eric Way, Instruction: Turn slight right onto Eric Way, Distance: 25.3 meters, Time: 18.3 seconds
Name: -, Instruction: Keep right, Distance: 158.6 meters, Time: 114.2 seconds
Name: -, Instruction: Turn slight right, Distance: 69.4 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 64.0 meters, Time: 46.1 seconds
Name: Clifford Street, Instruction: Turn right onto Clifford Street, Distance: 241.7 meters, Time: 174.0 seconds
Name: -, Instruction: Turn left, Distance: 247.1 meters, Time: 177.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
