Name: Leader Lane, Instruction: Head north on Leader Lane, Distance: 30.7 meters, Time: 22.1 seconds
Name: Colborne Street, Instruction: Turn left onto Colborne Street, Distance: 80.2 meters, Time: 57.7 seconds
Name: Victoria Street, Instruction: Turn right onto Victoria Street, Distance: 216.4 meters, Time: 155.8 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 653.2 meters, Time: 470.3 seconds
Name: -, Instruction: Turn slight left, Distance: 93.7 meters, Time: 67.4 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 120.9 meters, Time: 87.0 seconds
Name: -, Instruction: Keep right, Distance: 736.6 meters, Time: 530.3 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 333.5 meters, Time: 240.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
