Name: Close Avenue, Instruction: Head north on Close Avenue, Distance: 228.2 meters, Time: 164.3 seconds
Name: -, Instruction: Turn left, Distance: 315.2 meters, Time: 226.9 seconds
Name: -, Instruction: Keep right, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 488.6 meters, Time: 351.8 seconds
Name: -, Instruction: Keep right, Distance: 170.3 meters, Time: 122.6 seconds
Name: -, Instruction: Keep right, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Keep right, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Sunnyside Avenue, Instruction: Turn right onto Sunnyside Avenue, Distance: 500.1 meters, Time: 360.0 seconds
Name: -, Instruction: Arrive at Sunnyside Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
