Name: شارع اللواء صالح حرب, Instruction: Head southwest on شارع اللواء صالح حرب, Distance: 76.1 meters, Time: 54.8 seconds
Name: شارع صديق جوهر, Instruction: Turn right onto شارع صديق جوهر, Distance: 547.2 meters, Time: 394.0 seconds
Name: -, Instruction: Turn right, Distance: 74.0 meters, Time: 53.3 seconds
Name: شارع الخليفه الظافر, Instruction: Turn left onto شارع الخليفه الظافر, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 27.5 meters, Time: 19.8 seconds
Name: شارع الخليفه الظافر, Instruction: Turn left onto شارع الخليفه الظافر, Distance: 29.3 meters, Time: 21.1 seconds
Name: شارع الخليفه القاهر, Instruction: Turn right onto شارع الخليفه القاهر, Distance: 628.5 meters, Time: 452.5 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: شارع علي امين, Instruction: Turn sharp left onto شارع علي امين, Distance: 315.7 meters, Time: 227.3 seconds
Name: شارع الحسن بن على, Instruction: Turn sharp right onto شارع الحسن بن على, Distance: 113.3 meters, Time: 81.6 seconds
Name: شارع حنين بن إسحاق, Instruction: Turn left onto شارع حنين بن إسحاق, Distance: 298.0 meters, Time: 214.6 seconds
Name: شارع محمد فتح الله السليطي, Instruction: Enter the roundabout and take the 2nd exit onto شارع محمد فتح الله السليطي, Distance: 133.9 meters, Time: 96.4 seconds
Name: شارع علي امين, Instruction: Turn right onto شارع علي امين, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 87.8 meters, Time: 63.2 seconds
Name: شارع علي امين, Instruction: Turn right onto شارع علي امين, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Arrive at شارع علي امين, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
