Name: Avignon Crescent, Instruction: Head south on Avignon Crescent, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: Smartt Road, Instruction: Turn sharp right onto Smartt Road, Distance: 77.1 meters, Time: 55.5 seconds
Name: Townsend Street, Instruction: Turn left onto Townsend Street, Distance: 554.8 meters, Time: 399.4 seconds
Name: -, Instruction: Turn left, Distance: 81.6 meters, Time: 58.7 seconds
Name: Caledon Street, Instruction: Turn right onto Caledon Street, Distance: 186.8 meters, Time: 134.5 seconds
Name: C.J. Langenhoven Road, Instruction: Turn left onto C.J. Langenhoven Road, Distance: 606.2 meters, Time: 436.5 seconds
Name: Alice Street, Instruction: Turn right onto Alice Street, Distance: 170.8 meters, Time: 123.0 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
