Name: 5, Instruction: Head southeast on 5, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn slight left, Distance: 141.8 meters, Time: 102.1 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: 1, Instruction: Turn left onto 1, Distance: 100.2 meters, Time: 72.1 seconds
Name: -, Instruction: Continue straight, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 143.4 meters, Time: 103.3 seconds
Name: -, Instruction: Turn right, Distance: 1005.5 meters, Time: 724.0 seconds
Name: -, Instruction: Keep left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Keep left, Distance: 401.7 meters, Time: 289.2 seconds
Name: -, Instruction: Keep right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Keep right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Continue straight, Distance: 107.3 meters, Time: 77.2 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
