Name: Pasillo B, Instruction: Head west on Pasillo B, Distance: 36.2 meters, Time: 26.1 seconds
Name: Pasillo 5, Instruction: Turn left onto Pasillo 5, Distance: 40.4 meters, Time: 29.1 seconds
Name: Pasillo D, Instruction: Turn right onto Pasillo D, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Calle Emilio Dondé, Instruction: Turn right onto Calle Emilio Dondé, Distance: 6.8 meters, Time: 4.9 seconds
Name: Calle Enrico Martínez, Instruction: Turn left onto Calle Enrico Martínez, Distance: 1870.6 meters, Time: 1346.8 seconds
Name: Doctor Pasteur, Instruction: Turn sharp left onto Doctor Pasteur, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Keep right, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 47.6 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
