Name: Sterling Road, Instruction: Head south on Sterling Road, Distance: 208.1 meters, Time: 149.8 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 190.0 meters, Time: 136.8 seconds
Name: -, Instruction: Keep right, Distance: 160.8 meters, Time: 115.8 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 179.9 meters, Time: 129.5 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Sorauren Avenue, Instruction: Turn left onto Sorauren Avenue, Distance: 853.0 meters, Time: 614.2 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn slight left, Distance: 261.3 meters, Time: 188.1 seconds
Name: -, Instruction: Keep left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 363.0 meters, Time: 261.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
