Name: Lisgar Street, Instruction: Head south on Lisgar Street, Distance: 365.4 meters, Time: 263.1 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 168.2 meters, Time: 121.1 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: Sudbury Street, Instruction: Turn left onto Sudbury Street, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 394.0 meters, Time: 283.7 seconds
Name: -, Instruction: Turn right, Distance: 305.5 meters, Time: 219.9 seconds
Name: -, Instruction: Keep left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Keep right, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: Atlantic Avenue, Instruction: Turn right onto Atlantic Avenue, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
