Name: Taunton Road, Instruction: Head south on Taunton Road, Distance: 257.1 meters, Time: 185.1 seconds
Name: Soudan Avenue, Instruction: Turn left onto Soudan Avenue, Distance: 213.4 meters, Time: 153.6 seconds
Name: -, Instruction: Turn right, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Forman Avenue, Instruction: Turn right onto Forman Avenue, Distance: 616.8 meters, Time: 444.1 seconds
Name: -, Instruction: Turn left, Distance: 224.9 meters, Time: 161.9 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 328.6 meters, Time: 236.6 seconds
Name: -, Instruction: Turn right, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 266.2 meters, Time: 191.6 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: St. Cuthberts Road, Instruction: Turn left onto St. Cuthberts Road, Distance: 10.0 meters, Time: 7.2 seconds
Name: Bessborough Drive, Instruction: Turn right onto Bessborough Drive, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Arrive at Bessborough Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
