Name: Haffstraße, Instruction: Head northeast on Haffstraße, Distance: 32.7 meters, Time: 23.5 seconds
Name: Sankt-Augustinus-Straße, Instruction: Turn left onto Sankt-Augustinus-Straße, Distance: 258.6 meters, Time: 186.2 seconds
Name: Evereststraße, Instruction: Turn right onto Evereststraße, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 130.8 meters, Time: 94.2 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.2 seconds
Name: Sankt-Augustinus-Straße, Instruction: Turn right onto Sankt-Augustinus-Straße, Distance: 282.9 meters, Time: 203.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 208.6 meters, Time: 150.2 seconds
Name: -, Instruction: Turn right, Distance: 47.1 meters, Time: 33.9 seconds
Name: Waldstraße, Instruction: Keep left onto Waldstraße, Distance: 109.5 meters, Time: 78.8 seconds
Name: Rofanstraße, Instruction: Turn left onto Rofanstraße, Distance: 4.3 meters, Time: 3.1 seconds
Name: Zwieselbergweg, Instruction: Turn right onto Zwieselbergweg, Distance: 334.8 meters, Time: 241.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 288.1 meters, Time: 207.4 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
