Name: Fraunhoferstraße, Instruction: Head northeast on Fraunhoferstraße, Distance: 100.5 meters, Time: 72.4 seconds
Name: -, Instruction: Turn left, Distance: 71.2 meters, Time: 51.2 seconds
Name: -, Instruction: Turn slight left, Distance: 168.4 meters, Time: 121.3 seconds
Name: -, Instruction: Turn left, Distance: 102.3 meters, Time: 73.7 seconds
Name: -, Instruction: Continue straight, Distance: 200.5 meters, Time: 144.4 seconds
Name: -, Instruction: Turn slight left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 428.6 meters, Time: 308.6 seconds
Name: Großhaderner Straße, Instruction: Turn sharp left onto Großhaderner Straße, Distance: 420.2 meters, Time: 302.5 seconds
Name: Großhaderner Straße, Instruction: Keep right onto Großhaderner Straße, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 117.6 meters, Time: 84.6 seconds
Name: -, Instruction: Turn slight right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
