Name: Spinella Drive, Instruction: Head north on Spinella Drive, Distance: 458.7 meters, Time: 330.2 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: James Street, Instruction: Turn left onto James Street, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 126.7 meters, Time: 91.2 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Keep right, Distance: 280.8 meters, Time: 202.2 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 387.2 meters, Time: 278.8 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: Kathleen Street, Instruction: Turn left onto Kathleen Street, Distance: 85.9 meters, Time: 61.9 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep right, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Keep right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
