Name: Travessa Marechal Mallet, Instruction: Head east on Travessa Marechal Mallet, Distance: 100.7 meters, Time: 72.5 seconds
Name: Estrada Marechal Mallet, Instruction: Turn left onto Estrada Marechal Mallet, Distance: 18.7 meters, Time: 13.5 seconds
Name: Rua Euclides, Instruction: Turn right onto Rua Euclides, Distance: 147.2 meters, Time: 106.0 seconds
Name: Rua Arquimedes, Instruction: Turn sharp right onto Rua Arquimedes, Distance: 330.8 meters, Time: 238.2 seconds
Name: Rua Newton, Instruction: Turn left onto Rua Newton, Distance: 357.4 meters, Time: 257.3 seconds
Name: Rua José Belo de Lima, Instruction: Keep right onto Rua José Belo de Lima, Distance: 263.0 meters, Time: 189.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 72.6 meters, Time: 52.3 seconds
Name: Avenida Marechal Fontenelle, Instruction: Turn left onto Avenida Marechal Fontenelle, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: Avenida Marechal Fontenelle, Instruction: Turn left onto Avenida Marechal Fontenelle, Distance: 146.7 meters, Time: 105.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 187.9 meters, Time: 135.3 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: Avenida Marechal Fontenelle, Instruction: Turn right onto Avenida Marechal Fontenelle, Distance: 222.5 meters, Time: 160.2 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn slight right, Distance: 86.4 meters, Time: 62.2 seconds
Name: Avenida Marechal Fontenelle, Instruction: Turn slight left onto Avenida Marechal Fontenelle, Distance: 399.6 meters, Time: 287.7 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 518.2 meters, Time: 373.1 seconds
Name: -, Instruction: Keep left, Distance: 211.7 meters, Time: 152.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 284.2 meters, Time: 204.7 seconds
Name: -, Instruction: Keep right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
