Name: Boy de Goede Circle, Instruction: Head south on Boy de Goede Circle, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 842.5 meters, Time: 606.6 seconds
Name: -, Instruction: Turn right, Distance: 229.0 meters, Time: 164.9 seconds
Name: -, Instruction: Turn right, Distance: 389.8 meters, Time: 280.6 seconds
Name: Wood Drive, Instruction: Turn slight right onto Wood Drive, Distance: 6.7 meters, Time: 4.8 seconds
Name: Merlot Avenue, Instruction: Turn left onto Merlot Avenue, Distance: 367.4 meters, Time: 264.5 seconds
Name: -, Instruction: Turn right, Distance: 76.7 meters, Time: 55.2 seconds
Name: Janssens Avenue, Instruction: Turn right onto Janssens Avenue, Distance: 308.0 meters, Time: 221.7 seconds
Name: Janssens Avenue, Instruction: Keep right onto Janssens Avenue, Distance: 21.0 meters, Time: 15.1 seconds
Name: Parklands Walk, Instruction: Enter the roundabout and take the 3rd exit onto Parklands Walk, Distance: 85.8 meters, Time: 61.7 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
