Name: Hester Street, Instruction: Head northwest on Hester Street, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Turn right, Distance: 67.6 meters, Time: 48.7 seconds
Name: Tafelberg Road, Instruction: Turn left onto Tafelberg Road, Distance: 13.2 meters, Time: 9.5 seconds
Name: Shirley Road, Instruction: Turn right onto Shirley Road, Distance: 80.0 meters, Time: 57.6 seconds
Name: Drakenstein Circle, Instruction: Turn left onto Drakenstein Circle, Distance: 72.6 meters, Time: 52.3 seconds
Name: Drakenstein Circle, Instruction: Keep right onto Drakenstein Circle, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 134.6 meters, Time: 96.9 seconds
Name: Bluegum Road, Instruction: Turn slight left onto Bluegum Road, Distance: 173.5 meters, Time: 124.9 seconds
Name: Sandy Lane, Instruction: Turn left onto Sandy Lane, Distance: 78.8 meters, Time: 56.7 seconds
Name: Tafelberg Road, Instruction: Turn right onto Tafelberg Road, Distance: 425.8 meters, Time: 306.6 seconds
Name: River Road, Instruction: Turn left onto River Road, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 114.7 meters, Time: 82.6 seconds
Name: Civic Road, Instruction: Turn slight right onto Civic Road, Distance: 549.3 meters, Time: 395.5 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn left, Distance: 347.9 meters, Time: 250.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
