Name: Fir Road, Instruction: Head southwest on Fir Road, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 418.2 meters, Time: 301.1 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Keep right, Distance: 568.1 meters, Time: 409.0 seconds
Name: -, Instruction: Continue straight, Distance: 295.5 meters, Time: 212.8 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: Dixton Road, Instruction: Turn right onto Dixton Road, Distance: 82.0 meters, Time: 59.0 seconds
Name: Malleson Road, Instruction: Turn left onto Malleson Road, Distance: 187.9 meters, Time: 135.3 seconds
Name: Inniskillen Road, Instruction: Turn right onto Inniskillen Road, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Continue straight, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 176.5 meters, Time: 127.1 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Continue straight, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn slight right, Distance: 25.5 meters, Time: 18.4 seconds
Name: Princess Street, Instruction: Turn left onto Princess Street, Distance: 134.7 meters, Time: 97.0 seconds
Name: Saint Peter's Road, M18, Instruction: Turn right onto Saint Peter's Road, M18, Distance: 107.8 meters, Time: 77.6 seconds
Name: Rhodes Avenue, Instruction: Continue straight onto Rhodes Avenue, Distance: 170.1 meters, Time: 122.5 seconds
Name: -, Instruction: Arrive at Rhodes Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
