Name: Schluderstraße, Instruction: Head west on Schluderstraße, Distance: 73.0 meters, Time: 52.6 seconds
Name: Stupfstraße, Instruction: Turn right onto Stupfstraße, Distance: 6.8 meters, Time: 4.9 seconds
Name: Zum Künstlerhof, Instruction: Turn left onto Zum Künstlerhof, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 82.0 meters, Time: 59.1 seconds
Name: -, Instruction: Turn right, Distance: 30.3 meters, Time: 21.8 seconds
Name: Karl-Schurz-Straße, Instruction: Turn left onto Karl-Schurz-Straße, Distance: 37.3 meters, Time: 26.8 seconds
Name: Gotelindenstraße, Instruction: Turn left onto Gotelindenstraße, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 948.7 meters, Time: 683.1 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Keep right, Distance: 244.5 meters, Time: 176.0 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 87.7 meters, Time: 63.2 seconds
Name: -, Instruction: Turn right, Distance: 185.1 meters, Time: 133.2 seconds
Name: -, Instruction: Turn left, Distance: 59.1 meters, Time: 42.6 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Keep left, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Keep left, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn slight right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
