Name: شارع الكامل, Instruction: Head southwest on شارع الكامل, Distance: 287.1 meters, Time: 206.7 seconds
Name: شارع سراي الزعفران, Instruction: Turn slight right onto شارع سراي الزعفران, Distance: 68.8 meters, Time: 49.5 seconds
Name: شارع سراي الزعفران, Instruction: Turn sharp left onto شارع سراي الزعفران, Distance: 230.2 meters, Time: 165.8 seconds
Name: شارع لطفي السيد, Instruction: Turn sharp right onto شارع لطفي السيد, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.6 seconds
Name: -, Instruction: Turn right, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 102.4 meters, Time: 73.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
