Name: Lynd Avenue, Instruction: Head south on Lynd Avenue, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 98.0 meters, Time: 70.6 seconds
Name: Geoffrey Street, Instruction: Turn right onto Geoffrey Street, Distance: 157.4 meters, Time: 113.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn slight left, Distance: 78.4 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Sunnyside Avenue, Instruction: Turn left onto Sunnyside Avenue, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Turn right, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Turn slight left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: Indian Road, Instruction: Turn left onto Indian Road, Distance: 438.2 meters, Time: 315.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: Garden Avenue, Instruction: Turn right onto Garden Avenue, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn slight left, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Spring Road, Instruction: Turn right onto Spring Road, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Arrive at Spring Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
