Name: Calle Río Lerma, Instruction: Head southwest on Calle Río Lerma, Distance: 537.4 meters, Time: 387.0 seconds
Name: Calle Río de la Plata, Instruction: Turn left onto Calle Río de la Plata, Distance: 157.8 meters, Time: 113.7 seconds
Name: -, Instruction: Turn right, Distance: 288.9 meters, Time: 208.0 seconds
Name: -, Instruction: Keep left, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 461.2 meters, Time: 332.1 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.7 seconds
Name: Avenida Paseo de la Reforma, Instruction: Turn left onto Avenida Paseo de la Reforma, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep right, Distance: 158.6 meters, Time: 114.2 seconds
Name: -, Instruction: Keep right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 242.6 meters, Time: 174.7 seconds
Name: -, Instruction: Turn right, Distance: 64.0 meters, Time: 46.0 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn slight right, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Turn slight right, Distance: 45.9 meters, Time: 33.0 seconds
Name: Avenida Grutas, Instruction: Turn right onto Avenida Grutas, Distance: 65.3 meters, Time: 47.1 seconds
Name: Calzada Mahatma Gandhi, Instruction: Turn sharp left onto Calzada Mahatma Gandhi, Distance: 99.7 meters, Time: 71.8 seconds
Name: Calle Schiller, Instruction: Keep right onto Calle Schiller, Distance: 117.1 meters, Time: 84.3 seconds
Name: Calle Tres Picos, Instruction: Keep left onto Calle Tres Picos, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
