Name: Calle Doctor Andrade, Instruction: Head north on Calle Doctor Andrade, Distance: 184.7 meters, Time: 133.0 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn slight right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: Calle Doctor Arce, Instruction: Turn left onto Calle Doctor Arce, Distance: 170.7 meters, Time: 122.9 seconds
Name: Calle Doctor Miguel Francisco Jiménez, Instruction: Turn right onto Calle Doctor Miguel Francisco Jiménez, Distance: 320.4 meters, Time: 230.7 seconds
Name: Calle Doctor Salvador García Diego, Instruction: Turn left onto Calle Doctor Salvador García Diego, Distance: 338.5 meters, Time: 243.7 seconds
Name: Calle Doctor Rafaél Lucio, Instruction: Turn right onto Calle Doctor Rafaél Lucio, Distance: 983.5 meters, Time: 708.1 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
