Name: Boulevard Gouvion-Saint-Cyr, Instruction: Head south on Boulevard Gouvion-Saint-Cyr, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Avenue de la Grande Armée, Instruction: Turn left onto Avenue de la Grande Armée, Distance: 292.5 meters, Time: 210.6 seconds
Name: Avenue de la Grande Armée, Instruction: Continue straight onto Avenue de la Grande Armée, Distance: 18.4 meters, Time: 13.2 seconds
Name: Avenue de la Grande Armée, Instruction: Turn slight left onto Avenue de la Grande Armée, Distance: 36.6 meters, Time: 26.3 seconds
Name: Avenue de la Grande Armée, Instruction: Turn right onto Avenue de la Grande Armée, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 103.8 meters, Time: 74.7 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Rue Rude, Instruction: Turn right onto Rue Rude, Distance: 29.8 meters, Time: 21.4 seconds
Name: Avenue Foch, Instruction: Turn left onto Avenue Foch, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Arrive at Avenue Foch, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
