Name: Red Gum Drive, Instruction: Head west on Red Gum Drive, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 119.1 meters, Time: 85.7 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 92.0 meters, Time: 66.3 seconds
Name: -, Instruction: Turn slight right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 684.7 meters, Time: 493.0 seconds
Name: -, Instruction: Turn slight left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 104.4 meters, Time: 75.2 seconds
Name: -, Instruction: Turn slight left, Distance: 340.1 meters, Time: 244.9 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
