Name: McNair Road, Instruction: Head northeast on McNair Road, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 112.3 meters, Time: 80.9 seconds
Name: -, Instruction: Turn left, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 30.1 meters, Time: 21.7 seconds
Name: Whampoa Park Connector, Instruction: Turn left onto Whampoa Park Connector, Distance: 146.2 meters, Time: 105.2 seconds
Name: Whampoa Park Connector, Instruction: Turn left onto Whampoa Park Connector, Distance: 219.5 meters, Time: 158.0 seconds
Name: -, Instruction: Turn right, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Keep left, Distance: 3.7 meters, Time: 2.7 seconds
Name: Whampoa Drive, Instruction: Turn right onto Whampoa Drive, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: Whampoa Drive, Instruction: Turn left onto Whampoa Drive, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Arrive at Whampoa Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
