Name: Zamdorfer Straße, Instruction: Head west on Zamdorfer Straße, Distance: 394.7 meters, Time: 284.2 seconds
Name: -, Instruction: Turn left, Distance: 538.2 meters, Time: 387.5 seconds
Name: -, Instruction: Turn right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Keep right, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: Hermann-Weinhauser-Straße, Instruction: Turn right onto Hermann-Weinhauser-Straße, Distance: 438.1 meters, Time: 315.4 seconds
Name: -, Instruction: Turn right, Distance: 204.2 meters, Time: 147.0 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: Neumarkter Straße, Instruction: Turn right onto Neumarkter Straße, Distance: 28.8 meters, Time: 20.7 seconds
Name: Weihenstephaner Straße, Instruction: Turn left onto Weihenstephaner Straße, Distance: 259.1 meters, Time: 186.5 seconds
Name: Berg-am-Laim-Straße, Instruction: Turn right onto Berg-am-Laim-Straße, Distance: 15.4 meters, Time: 11.1 seconds
Name: Schlüsselbergstraße, Instruction: Turn left onto Schlüsselbergstraße, Distance: 28.4 meters, Time: 20.5 seconds
Name: Berg-am-Laim-Straße, Instruction: Turn right onto Berg-am-Laim-Straße, Distance: 376.5 meters, Time: 271.1 seconds
Name: Berg-am-Laim-Straße, Instruction: Continue straight onto Berg-am-Laim-Straße, Distance: 55.9 meters, Time: 40.2 seconds
Name: Annabrunner Straße, Instruction: Turn left onto Annabrunner Straße, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Arrive at Annabrunner Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
