Name: Hazel Road, Instruction: Head north on Hazel Road, Distance: 549.6 meters, Time: 395.7 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: Petunia Road, Instruction: Turn right onto Petunia Road, Distance: 395.8 meters, Time: 285.0 seconds
Name: -, Instruction: Turn right, Distance: 59.0 meters, Time: 42.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 188.8 meters, Time: 135.9 seconds
Name: -, Instruction: Keep right, Distance: 281.6 meters, Time: 202.7 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.4 seconds
Name: Petunia Road, Instruction: Turn right onto Petunia Road, Distance: 137.4 meters, Time: 99.0 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn right, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
