Name: Small Road, Instruction: Head north on Small Road, Distance: 473.8 meters, Time: 341.2 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 152.1 meters, Time: 109.5 seconds
Name: -, Instruction: Turn slight right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Continue straight, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Continue straight, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 121.5 meters, Time: 87.4 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Kapehu Road, Instruction: Turn right onto Kapehu Road, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn slight left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep right, Distance: 136.0 meters, Time: 97.9 seconds
Name: -, Instruction: Keep right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: Silverwater Drive, Instruction: Turn left onto Silverwater Drive, Distance: 18.1 meters, Time: 13.1 seconds
Name: East Coast Road, Instruction: Turn left onto East Coast Road, Distance: 74.9 meters, Time: 53.9 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 29.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
