Name: Avenida Licenciado Genaro García, Instruction: Head west on Avenida Licenciado Genaro García, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 606.5 meters, Time: 436.7 seconds
Name: Retorno 18 de Avenida del Taller, Instruction: Turn right onto Retorno 18 de Avenida del Taller, Distance: 108.9 meters, Time: 78.4 seconds
Name: Lateral Norte Taller, Instruction: Turn left onto Lateral Norte Taller, Distance: 207.4 meters, Time: 149.3 seconds
Name: Avenida Doctor Nicolás León, Instruction: Turn right onto Avenida Doctor Nicolás León, Distance: 8.0 meters, Time: 5.8 seconds
Name: Lateral Norte Avenida del Taller, Instruction: Turn left onto Lateral Norte Avenida del Taller, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 100.0 meters, Time: 72.0 seconds
Name: -, Instruction: Keep right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn slight right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: Francisco del Paso y Troncoso, Instruction: Turn right onto Francisco del Paso y Troncoso, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Arrive at Francisco del Paso y Troncoso, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
