Name: Calle 39, Instruction: Head northeast on Calle 39, Distance: 33.7 meters, Time: 24.3 seconds
Name: Avenida 16, Instruction: Turn left onto Avenida 16, Distance: 421.7 meters, Time: 303.6 seconds
Name: Calle 19, Instruction: Turn left onto Calle 19, Distance: 104.4 meters, Time: 75.2 seconds
Name: Avenida 18, Instruction: Turn sharp right onto Avenida 18, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 111.6 meters, Time: 80.4 seconds
Name: -, Instruction: Keep right, Distance: 70.6 meters, Time: 50.9 seconds
Name: Jesús Galindo y Villa, Instruction: Turn left onto Jesús Galindo y Villa, Distance: 391.7 meters, Time: 282.0 seconds
Name: Avenida Licenciado Genaro García, Instruction: Keep right onto Avenida Licenciado Genaro García, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Continue straight, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Keep right, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
