Name: Cameron Avenue, Instruction: Head west on Cameron Avenue, Distance: 192.7 meters, Time: 138.7 seconds
Name: Scott Road, Instruction: Turn right onto Scott Road, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight left, Distance: 178.8 meters, Time: 128.8 seconds
Name: -, Instruction: Turn slight right, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 153.3 meters, Time: 110.4 seconds
Name: -, Instruction: Keep left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 358.4 meters, Time: 258.0 seconds
Name: -, Instruction: Keep right, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 88.4 meters, Time: 63.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
