Name: Maiden Street, Instruction: Head south on Maiden Street, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 413.1 meters, Time: 297.4 seconds
Name: -, Instruction: Turn right, Distance: 233.9 meters, Time: 168.4 seconds
Name: -, Instruction: Turn left, Distance: 320.7 meters, Time: 230.9 seconds
Name: -, Instruction: Turn slight right, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 242.5 meters, Time: 174.6 seconds
Name: -, Instruction: Keep right, Distance: 134.9 meters, Time: 97.1 seconds
Name: -, Instruction: Turn slight right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 361.4 meters, Time: 260.2 seconds
Name: -, Instruction: Turn left, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
