Name: Lansburg Road, Instruction: Head west on Lansburg Road, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.7 seconds
Name: Lavender Close, Instruction: Turn left onto Lavender Close, Distance: 21.3 meters, Time: 15.3 seconds
Name: Surran Road, Instruction: Turn right onto Surran Road, Distance: 490.9 meters, Time: 353.5 seconds
Name: -, Instruction: Keep right, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Keep right, Distance: 134.1 meters, Time: 96.5 seconds
Name: -, Instruction: Keep right, Distance: 364.2 meters, Time: 262.2 seconds
Name: Bellmore Avenue, Instruction: Turn right onto Bellmore Avenue, Distance: 112.3 meters, Time: 80.9 seconds
Name: Arba Street, Instruction: Turn left onto Arba Street, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
