Name: Calle Los Pirules, Instruction: Head northeast on Calle Los Pirules, Distance: 264.3 meters, Time: 190.3 seconds
Name: Calle 15 de Septiembre, Instruction: Turn sharp left onto Calle 15 de Septiembre, Distance: 227.8 meters, Time: 164.0 seconds
Name: Calle Hermanos Wright, Instruction: Turn right onto Calle Hermanos Wright, Distance: 18.5 meters, Time: 13.4 seconds
Name: Calle Carlos Benz, Instruction: Turn left onto Calle Carlos Benz, Distance: 257.5 meters, Time: 185.4 seconds
Name: Calle Carlos Benz, Instruction: Keep right onto Calle Carlos Benz, Distance: 515.2 meters, Time: 371.0 seconds
Name: Calle Presidencia, Instruction: Turn right onto Calle Presidencia, Distance: 51.7 meters, Time: 37.2 seconds
Name: Calle Hacienda, Instruction: Turn left onto Calle Hacienda, Distance: 88.3 meters, Time: 63.6 seconds
Name: Avenida Canal Nacional, Instruction: Turn right onto Avenida Canal Nacional, Distance: 133.5 meters, Time: 96.1 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: Canal Nacional, Instruction: Turn right onto Canal Nacional, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 15.9 seconds
Name: Avenida Canal Nacional, Instruction: Turn right onto Avenida Canal Nacional, Distance: 135.0 meters, Time: 97.2 seconds
Name: -, Instruction: Keep right, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
