Name: Evelyn Avenue, Instruction: Head southeast on Evelyn Avenue, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 744.0 meters, Time: 535.7 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: Burton Street, Instruction: Turn right onto Burton Street, Distance: 199.2 meters, Time: 143.4 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Keep right, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 316.1 meters, Time: 227.6 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 332.4 meters, Time: 239.3 seconds
Name: -, Instruction: Turn right, Distance: 132.0 meters, Time: 95.0 seconds
Name: Roberts Street, Instruction: Turn left onto Roberts Street, Distance: 7.7 meters, Time: 5.5 seconds
Name: Cooper Street, Instruction: Turn right onto Cooper Street, Distance: 49.4 meters, Time: 35.6 seconds
Name: Cooper Lane, Instruction: Turn left onto Cooper Lane, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.7 seconds
Name: Mosely Street, Instruction: Turn left onto Mosely Street, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Arrive at Mosely Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
