Name: Park Green, Instruction: Head south on Park Green, Distance: 168.8 meters, Time: 121.6 seconds
Name: Heath Road, Instruction: Turn right onto Heath Road, Distance: 38.4 meters, Time: 27.7 seconds
Name: Heath Road, Instruction: Keep right onto Heath Road, Distance: 19.5 meters, Time: 14.1 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 1st exit onto Summer Greens Drive, Distance: 137.3 meters, Time: 98.9 seconds
Name: -, Instruction: Keep right, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 286.8 meters, Time: 206.5 seconds
Name: Station Road, Instruction: Turn sharp right onto Station Road, Distance: 313.7 meters, Time: 225.8 seconds
Name: Railway Road, Instruction: Turn left onto Railway Road, Distance: 202.8 meters, Time: 146.0 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 148.5 meters, Time: 106.9 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 350.1 meters, Time: 252.1 seconds
Name: -, Instruction: Turn left, Distance: 116.2 meters, Time: 83.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
