Name: Freya Street, Instruction: Head southwest on Freya Street, Distance: 54.0 meters, Time: 38.9 seconds
Name: Siandra Drive, Instruction: Enter the roundabout and take the 1st exit onto Siandra Drive, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 260.3 meters, Time: 187.4 seconds
Name: Box Road, Instruction: Turn right onto Box Road, Distance: 46.8 meters, Time: 33.7 seconds
Name: Bandain Avenue, Instruction: Turn left onto Bandain Avenue, Distance: 435.7 meters, Time: 313.7 seconds
Name: Garnet Road, Instruction: Turn right onto Garnet Road, Distance: 52.5 meters, Time: 37.8 seconds
Name: Bath Road, Instruction: Turn left onto Bath Road, Distance: 115.9 meters, Time: 83.5 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 310.2 meters, Time: 223.3 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn slight left, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: Bath Road, Instruction: Turn right onto Bath Road, Distance: 262.3 meters, Time: 188.9 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn slight left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn slight right, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
